workload,queue_size,thread_count,replay_rate,t1_size,t2_size
w81,128,16,1,25000,0
w81,128,16,1,25000,10000
w81,128,16,1,25000,20000
w81,128,16,1,20000,0
w81,128,16,1,20000,10000
w81,128,16,1,20000,20000
w81,128,16,1,15000,0
w81,128,16,1,15000,10000
w81,128,16,1,15000,20000
w81,128,16,1,5000,0
w81,128,16,1,5000,10000
w81,128,16,1,5000,20000
w97,128,16,1,25000,0
w97,128,16,1,25000,10000
w97,128,16,1,25000,20000
w97,128,16,1,20000,0
w97,128,16,1,20000,10000
w97,128,16,1,20000,20000
w97,128,16,1,15000,0
w97,128,16,1,15000,10000
w97,128,16,1,15000,20000
w97,128,16,1,10000,0
w97,128,16,1,10000,10000
w97,128,16,1,10000,20000
w97,128,16,1,5000,0
w97,128,16,1,5000,10000
w97,128,16,1,5000,20000
w97,128,16,1,2500,0
w97,128,16,1,2500,10000
w97,128,16,1,2500,20000
w97,128,16,1,25000,0
w97,128,16,1,25000,10000
w97,128,16,1,25000,20000
w97,128,16,1,20000,0
w97,128,16,1,20000,10000
w97,128,16,1,20000,20000
w97,128,16,1,15000,0
w97,128,16,1,15000,10000
w97,128,16,1,15000,20000
w97,128,16,1,10000,0
w97,128,16,1,10000,10000
w97,128,16,1,10000,20000
w97,128,16,1,5000,0
w97,128,16,1,5000,10000
w97,128,16,1,5000,20000
w97,128,16,1,2500,0
w97,128,16,1,2500,10000
w97,128,16,1,2500,20000
w82,128,16,1,1000,0
w82,128,16,1,1000,500
w82,128,16,1,1000,1000
w82,128,16,1,1000,2000
w82,128,16,1,800,0
w82,128,16,1,800,500
w82,128,16,1,800,1000
w82,128,16,1,800,2000
w82,128,16,1,600,0
w82,128,16,1,600,500
w82,128,16,1,600,1000
w82,128,16,1,600,2000
w82,128,16,1,400,0
w82,128,16,1,400,500
w82,128,16,1,400,1000
w82,128,16,1,400,2000
w82,128,16,1,200,0
w82,128,16,1,200,500
w82,128,16,1,200,1000
w82,128,16,1,200,2000
