workload,t1_size_mb,t2_size_mb
w97,16000,0
w97,16000,8000
w97,16000,10000
w97,16000,12000
w97,17000,0
w97,17000,8000
w97,17000,10000
w97,17000,12000
w97,18000,0
w97,20000,0
w97,25000,0
w81,13000,0
w81,13000,5000
w81,13000,10000
w81,15000,0
w81,15000,5000
w81,15000,10000
w81,17000,0
w81,17000,5000
w81,17000,10000
w81,17000,15000
w82,200,0
w82,200,1500
w82,400,0
w82,400,1000
w82,600,0
w82,600,500
w82,800,0
w81,1000,0
w78,200,0
w78,200,5000
w78,400,0
w78,400,5000
w78,600,0
w78,600,5000
w78,800,0
w78,1000,0
w47,200,0
w47,200,2000
w47,200,1500
w47,200,1000
w47,400,0
w47,800,0
w47,1600,0
