,thread_count,queue_size,iat_scale,machine,tag,workload,t1_size_mb,t2_size_mb,it,status
0,16,128,1,c220g1,cl_hdd_0_26,w68,200,0,0,2250030
1,16,128,1,c220g1,cl_hdd_0_26,w68,200,0,1,2198524
2,16,128,1,c220g1,cl_hdd_0_26,w68,200,0,2,2205829
3,16,128,1,c220g1,cl_hdd_0_26,w68,200,500,0,-1
4,16,128,1,c220g1,cl_hdd_0_26,w68,200,500,1,-1
5,16,128,1,c220g1,cl_hdd_0_26,w68,200,500,2,-1
6,16,128,1,c220g1,cl_hdd_0_26,w68,200,700,0,-1
7,16,128,1,c220g1,cl_hdd_0_26,w68,200,700,1,-1
8,16,128,1,c220g1,cl_hdd_0_26,w68,200,700,2,-1
9,16,128,1,c220g1,cl_hdd_0_26,w68,200,1000,0,-1
10,16,128,1,c220g1,cl_hdd_0_26,w68,200,1000,1,-1
11,16,128,1,c220g1,cl_hdd_0_26,w68,200,1000,2,-1
12,16,128,1,c220g1,cl_hdd_0_26,w68,200,2000,0,-1
13,16,128,1,c220g1,cl_hdd_0_26,w68,200,2000,1,-1
14,16,128,1,c220g1,cl_hdd_0_26,w68,200,2000,2,-1
15,16,128,1,c220g1,cl_hdd_0_26,w68,500,0,0,1858046
16,16,128,1,c220g1,cl_hdd_0_26,w68,500,0,1,1816398
17,16,128,1,c220g1,cl_hdd_0_26,w68,500,0,2,1855558
18,16,128,1,c220g1,cl_hdd_0_26,w68,500,300,0,1024
19,16,128,1,c220g1,cl_hdd_0_26,w68,500,300,1,1024
20,16,128,1,c220g1,cl_hdd_0_26,w68,500,300,2,1024
21,16,128,1,c220g1,cl_hdd_0_26,w68,500,500,0,-1
22,16,128,1,c220g1,cl_hdd_0_26,w68,500,500,1,-1
23,16,128,1,c220g1,cl_hdd_0_26,w68,500,500,2,-1
24,16,128,1,c220g1,cl_hdd_0_26,w68,500,1000,0,-1
25,16,128,1,c220g1,cl_hdd_0_26,w68,500,1000,1,-1
26,16,128,1,c220g1,cl_hdd_0_26,w68,500,1000,2,-1
27,16,128,1,c220g1,cl_hdd_0_26,w68,500,1500,0,-1
28,16,128,1,c220g1,cl_hdd_0_26,w68,500,1500,1,-1
29,16,128,1,c220g1,cl_hdd_0_26,w68,500,1500,2,-1
30,16,128,1,c220g1,cl_hdd_0_26,w68,500,2000,0,-1
31,16,128,1,c220g1,cl_hdd_0_26,w68,500,2000,1,-1
32,16,128,1,c220g1,cl_hdd_0_26,w68,500,2000,2,-1
33,16,128,1,c220g1,cl_hdd_0_26,w68,500,2500,0,-1
34,16,128,1,c220g1,cl_hdd_0_26,w68,500,2500,1,-1
35,16,128,1,c220g1,cl_hdd_0_26,w68,500,2500,2,-1
36,16,128,1,c220g1,cl_hdd_0_26,w68,500,4000,0,-1
37,16,128,1,c220g1,cl_hdd_0_26,w68,500,4000,1,-1
38,16,128,1,c220g1,cl_hdd_0_26,w68,500,4000,2,-1
39,16,128,1,c220g1,cl_hdd_0_26,w68,1000,0,0,2411228
40,16,128,1,c220g1,cl_hdd_0_26,w68,1000,0,1,2418913
41,16,128,1,c220g1,cl_hdd_0_26,w68,1000,0,2,2419201
42,16,128,1,c220g1,cl_hdd_0_26,w68,1000,500,0,-1
43,16,128,1,c220g1,cl_hdd_0_26,w68,1000,500,1,-1
44,16,128,1,c220g1,cl_hdd_0_26,w68,1000,500,2,-1
45,16,128,1,c220g1,cl_hdd_0_26,w68,1000,1000,0,-1
46,16,128,1,c220g1,cl_hdd_0_26,w68,1000,1000,1,-1
47,16,128,1,c220g1,cl_hdd_0_26,w68,1000,1000,2,-1
48,16,128,1,c220g1,cl_hdd_0_26,w68,1000,2000,0,-1
49,16,128,1,c220g1,cl_hdd_0_26,w68,1000,2000,1,-1
50,16,128,1,c220g1,cl_hdd_0_26,w68,1000,2000,2,-1
51,16,128,1,c220g1,cl_hdd_0_26,w68,1000,3000,0,-1
52,16,128,1,c220g1,cl_hdd_0_26,w68,1000,3000,1,-1
53,16,128,1,c220g1,cl_hdd_0_26,w68,1000,3000,2,-1
54,16,128,1,c220g1,cl_hdd_0_26,w68,1000,4000,0,-1
55,16,128,1,c220g1,cl_hdd_0_26,w68,1000,4000,1,-1
56,16,128,1,c220g1,cl_hdd_0_26,w68,1000,4000,2,-1
57,16,128,1,c220g1,cl_hdd_0_26,w68,1000,5000,0,-1
58,16,128,1,c220g1,cl_hdd_0_26,w68,1000,5000,1,-1
59,16,128,1,c220g1,cl_hdd_0_26,w68,1000,5000,2,-1
60,16,128,1,c220g1,cl_hdd_0_26,w68,1500,0,0,1464506
61,16,128,1,c220g1,cl_hdd_0_26,w68,1500,0,1,1488843
62,16,128,1,c220g1,cl_hdd_0_26,w68,1500,0,2,1511028
63,16,128,1,c220g1,cl_hdd_0_26,w68,1500,500,0,-1
64,16,128,1,c220g1,cl_hdd_0_26,w68,1500,500,1,-1
